Country,Year,LFPR,Type_LFPR
Afghanistan,1991,16.101,Female
Afghanistan,1991,80.99,Male
Afghanistan,1991,48.039,Total
Afghanistan,1992,16.17,Female
Afghanistan,1992,80.94,Male
Afghanistan,1992,48.031,Total
Afghanistan,1993,16.19,Female
Afghanistan,1993,80.84,Male
Afghanistan,1993,48,Total
Afghanistan,1994,16.204,Female
Afghanistan,1994,80.696,Male
Afghanistan,1994,47.957,Total
Afghanistan,1995,16.278,Female
Afghanistan,1995,80.504,Male
Afghanistan,1995,47.92,Total
Afghanistan,1996,16.112,Female
Afghanistan,1996,80.489,Male
Afghanistan,1996,47.856,Total
Afghanistan,1997,15.951,Female
Afghanistan,1997,80.501,Male
Afghanistan,1997,47.81,Total
Afghanistan,1998,15.834,Female
Afghanistan,1998,80.53,Male
Afghanistan,1998,47.789,Total
Afghanistan,1999,15.757,Female
Afghanistan,1999,80.558,Male
Afghanistan,1999,47.788,Total
Afghanistan,2000,15.697,Female
Afghanistan,2000,80.573,Male
Afghanistan,2000,47.795,Total
Afghanistan,2001,15.828,Female
Afghanistan,2001,80.465,Male
Afghanistan,2001,47.84,Total
Afghanistan,2002,16.01,Female
Afghanistan,2002,80.351,Male
Afghanistan,2002,47.909,Total
Afghanistan,2003,16.205,Female
Afghanistan,2003,80.244,Male
Afghanistan,2003,47.991,Total
Afghanistan,2004,16.391,Female
Afghanistan,2004,80.156,Male
Afghanistan,2004,48.079,Total
Afghanistan,2005,16.566,Female
Afghanistan,2005,80.085,Male
Afghanistan,2005,48.169,Total
Afghanistan,2006,16.356,Female
Afghanistan,2006,80.087,Male
Afghanistan,2006,48.098,Total
Afghanistan,2007,16.165,Female
Afghanistan,2007,80.138,Male
Afghanistan,2007,48.054,Total
Afghanistan,2008,16.011,Female
Afghanistan,2008,80.163,Male
Afghanistan,2008,48.018,Total
Afghanistan,2009,15.924,Female
Afghanistan,2009,80.101,Male
Afghanistan,2009,47.978,Total
Afghanistan,2010,15.938,Female
Afghanistan,2010,79.962,Male
Afghanistan,2010,47.952,Total
Afghanistan,2011,16.283,Female
Afghanistan,2011,79.649,Male
Afghanistan,2011,48.005,Total
Afghanistan,2012,16.719,Female
Afghanistan,2012,79.294,Male
Afghanistan,2012,48.08,Total
Afghanistan,2013,17.72,Female
Afghanistan,2013,78.418,Male
Afghanistan,2013,48.176,Total
Afghanistan,2014,18.757,Female
Afghanistan,2014,77.51,Male
Afghanistan,2014,48.268,Total
Afghanistan,2015,19.832,Female
Afghanistan,2015,76.577,Male
Afghanistan,2015,48.358,Total
Afghanistan,2016,20.946,Female
Afghanistan,2016,75.615,Male
Afghanistan,2016,48.449,Total
Afghanistan,2017,22.1,Female
Afghanistan,2017,74.638,Male
Afghanistan,2017,48.541,Total
Afghanistan,2018,20.631,Female
Afghanistan,2018,72.511,Male
Afghanistan,2018,46.738,Total
Afghanistan,2019,19.117,Female
Afghanistan,2019,70.437,Male
Afghanistan,2019,44.939,Total
Afghanistan,2020,17.071,Female
Afghanistan,2020,67.829,Male
Afghanistan,2020,42.609,Total
Afghanistan,2021,15.322,Female
Afghanistan,2021,68.799,Male
Afghanistan,2021,42.224,Total
Afghanistan,2022,5.342,Female
Afghanistan,2022,71.27,Male
Afghanistan,2022,38.5,Total
Albania,1991,58.279,Female
Albania,1991,79.77,Male
Albania,1991,69.274,Total
Albania,1992,58.999,Female
Albania,1992,80.514,Male
Albania,1992,69.963,Total
Albania,1993,58.301,Female
Albania,1993,80.015,Male
Albania,1993,69.319,Total
Albania,1994,57.737,Female
Albania,1994,79.647,Male
Albania,1994,68.804,Total
Albania,1995,56.861,Female
Albania,1995,78.99,Male
Albania,1995,67.988,Total
Albania,1996,56.325,Female
Albania,1996,78.647,Male
Albania,1996,67.498,Total
Albania,1997,57.271,Female
Albania,1997,79.745,Male
Albania,1997,68.47,Total
Albania,1998,56.738,Female
Albania,1998,79.426,Male
Albania,1998,67.997,Total
Albania,1999,55.996,Female
Albania,1999,78.874,Male
Albania,1999,67.313,Total
Albania,2000,55.671,Female
Albania,2000,78.707,Male
Albania,2000,67.038,Total
Albania,2001,55.3,Female
Albania,2001,78.457,Male
Albania,2001,66.711,Total
Albania,2002,55.221,Female
Albania,2002,78.481,Male
Albania,2002,66.68,Total
Albania,2003,54.76,Female
Albania,2003,77.139,Male
Albania,2003,65.791,Total
Albania,2004,54.315,Female
Albania,2004,75.743,Male
Albania,2004,64.889,Total
Albania,2005,53.875,Female
Albania,2005,74.284,Male
Albania,2005,63.963,Total
Albania,2006,53.433,Female
Albania,2006,72.767,Male
Albania,2006,63.005,Total
Albania,2007,52.991,Female
Albania,2007,71.207,Male
Albania,2007,62.024,Total
Albania,2008,52.551,Female
Albania,2008,69.61,Male
Albania,2008,61.024,Total
Albania,2009,53.28,Female
Albania,2009,73.701,Male
Albania,2009,63.439,Total
Albania,2010,54.496,Female
Albania,2010,73.27,Male
Albania,2010,63.848,Total
Albania,2011,60.651,Female
Albania,2011,76.625,Male
Albania,2011,68.617,Total
Albania,2012,56.199,Female
Albania,2012,73.685,Male
Albania,2012,64.927,Total
Albania,2013,50.702,Female
Albania,2013,69.825,Male
Albania,2013,60.254,Total
Albania,2014,51.298,Female
Albania,2014,72.565,Male
Albania,2014,61.926,Total
Albania,2015,55.422,Female
Albania,2015,74.13,Male
Albania,2015,64.775,Total
Albania,2016,58.861,Female
Albania,2016,74.956,Male
Albania,2016,66.911,Total
Albania,2017,58.353,Female
Albania,2017,76.967,Male
Albania,2017,67.665,Total
Albania,2018,60.386,Female
Albania,2018,77.671,Male
Albania,2018,69.035,Total
Albania,2019,62.31,Female
Albania,2019,78.42,Male
Albania,2019,70.373,Total
Albania,2020,59.49,Female
Albania,2020,75.221,Male
Albania,2020,67.363,Total
Albania,2021,61.224,Female
Albania,2021,76.133,Male
Albania,2021,68.684,Total
Albania,2022,63.446,Female
Albania,2022,79.278,Male
Albania,2022,71.367,Total
Algeria,1991,11.604,Female
Algeria,1991,79.161,Male
Algeria,1991,46.078,Total
Algeria,1992,11.736,Female
Algeria,1992,79.331,Male
Algeria,1992,46.237,Total
Algeria,1993,11.887,Female
Algeria,1993,79.91,Male
Algeria,1993,46.606,Total
Algeria,1994,12.058,Female
Algeria,1994,80.371,Male
Algeria,1994,46.921,Total
Algeria,1995,12.25,Female
Algeria,1995,80.363,Male
Algeria,1995,47.004,Total
Algeria,1996,12.466,Female
Algeria,1996,80.451,Male
Algeria,1996,47.154,Total
Algeria,1997,12.648,Female
Algeria,1997,80.045,Male
Algeria,1997,47.046,Total
Algeria,1998,12.823,Female
Algeria,1998,79.53,Male
Algeria,1998,46.878,Total
Algeria,1999,12.989,Female
Algeria,1999,78.857,Male
Algeria,1999,46.622,Total
Algeria,2000,13.158,Female
Algeria,2000,78.181,Male
Algeria,2000,46.367,Total
Algeria,2001,13.331,Female
Algeria,2001,77.5,Male
Algeria,2001,46.11,Total
Algeria,2002,13.507,Female
Algeria,2002,76.834,Male
Algeria,2002,45.864,Total
Algeria,2003,13.685,Female
Algeria,2003,76.172,Male
Algeria,2003,45.621,Total
Algeria,2004,13.865,Female
Algeria,2004,75.486,Male
Algeria,2004,45.365,Total
Algeria,2005,14.049,Female
Algeria,2005,74.806,Male
Algeria,2005,45.116,Total
Algeria,2006,14.235,Female
Algeria,2006,74.091,Male
Algeria,2006,44.849,Total
Algeria,2007,14.425,Female
Algeria,2007,73.375,Male
Algeria,2007,44.582,Total
Algeria,2008,14.618,Female
Algeria,2008,72.642,Male
Algeria,2008,44.309,Total
Algeria,2009,14.816,Female
Algeria,2009,71.894,Male
Algeria,2009,44.029,Total
Algeria,2010,15.041,Female
Algeria,2010,72.181,Male
Algeria,2010,44.294,Total
Algeria,2011,15.937,Female
Algeria,2011,71.73,Male
Algeria,2011,44.507,Total
Algeria,2012,16.869,Female
Algeria,2012,71.269,Male
Algeria,2012,44.73,Total
Algeria,2013,17.745,Female
Algeria,2013,73.1,Male
Algeria,2013,46.094,Total
Algeria,2014,15.984,Female
Algeria,2014,69.869,Male
Algeria,2014,43.574,Total
Algeria,2015,17.516,Female
Algeria,2015,70.64,Male
Algeria,2015,44.71,Total
Algeria,2016,18.262,Female
Algeria,2016,70.509,Male
Algeria,2016,45,Total
Algeria,2017,18.166,Female
Algeria,2017,70.74,Male
Algeria,2017,45.066,Total
Algeria,2018,18.073,Female
Algeria,2018,70.981,Male
Algeria,2018,45.14,Total
Algeria,2019,18.016,Female
Algeria,2019,71.267,Male
Algeria,2019,45.256,Total
Algeria,2020,16.948,Female
Algeria,2020,67.538,Male
Algeria,2020,42.824,Total
Algeria,2021,17.621,Female
Algeria,2021,68.053,Male
Algeria,2021,43.413,Total
Algeria,2022,18.049,Female
Algeria,2022,72.005,Male
Algeria,2022,45.641,Total
Angola,1991,76.136,Female
Angola,1991,79.63,Male
Angola,1991,77.84,Total
Angola,1992,76.117,Female
Angola,1992,79.636,Male
Angola,1992,77.83,Total
Angola,1993,76.062,Female
Angola,1993,79.53,Male
Angola,1993,77.747,Total
Angola,1994,76.082,Female
Angola,1994,79.489,Male
Angola,1994,77.734,Total
Angola,1995,76.137,Female
Angola,1995,79.453,Male
Angola,1995,77.744,Total
Angola,1996,76.166,Female
Angola,1996,79.497,Male
Angola,1996,77.781,Total
Angola,1997,76.194,Female
Angola,1997,79.474,Male
Angola,1997,77.786,Total
Angola,1998,76.226,Female
Angola,1998,79.405,Male
Angola,1998,77.77,Total
Angola,1999,76.261,Female
Angola,1999,79.297,Male
Angola,1999,77.735,Total
Angola,2000,76.302,Female
Angola,2000,79.173,Male
Angola,2000,77.696,Total
Angola,2001,76.317,Female
Angola,2001,79.158,Male
Angola,2001,77.696,Total
Angola,2002,76.363,Female
Angola,2002,79.147,Male
Angola,2002,77.715,Total
Angola,2003,76.387,Female
Angola,2003,79.075,Male
Angola,2003,77.693,Total
Angola,2004,76.431,Female
Angola,2004,79.031,Male
Angola,2004,77.696,Total
Angola,2005,76.482,Female
Angola,2005,79.014,Male
Angola,2005,77.715,Total
Angola,2006,76.492,Female
Angola,2006,79.094,Male
Angola,2006,77.76,Total
Angola,2007,76.511,Female
Angola,2007,79.17,Male
Angola,2007,77.808,Total
Angola,2008,76.525,Female
Angola,2008,79.226,Male
Angola,2008,77.844,Total
Angola,2009,76.514,Female
Angola,2009,79.227,Male
Angola,2009,77.84,Total
Angola,2010,76.517,Female
Angola,2010,79.232,Male
Angola,2010,77.844,Total
Angola,2011,75.873,Female
Angola,2011,79.876,Male
Angola,2011,77.83,Total
Angola,2012,75.652,Female
Angola,2012,79.627,Male
Angola,2012,77.597,Total
Angola,2013,75.428,Female
Angola,2013,79.378,Male
Angola,2013,77.361,Total
Angola,2014,75.199,Female
Angola,2014,79.128,Male
Angola,2014,77.122,Total
Angola,2015,74.968,Female
Angola,2015,78.876,Male
Angola,2015,76.881,Total
Angola,2016,74.736,Female
Angola,2016,78.624,Male
Angola,2016,76.64,Total
Angola,2017,74.502,Female
Angola,2017,78.37,Male
Angola,2017,76.397,Total
Angola,2018,74.266,Female
Angola,2018,78.117,Male
Angola,2018,76.153,Total
Angola,2019,74.029,Female
Angola,2019,77.864,Male
Angola,2019,75.908,Total
Angola,2020,74.139,Female
Angola,2020,77.954,Male
Angola,2020,76.009,Total
