Country,Dimension 1: Political Rights and Safety,Dimension 2: Financial and Health Protections,Dimension 3: Protection for the Most Vulnerable,Dimension 4: Conflict,Mean Vulnerability ,POPULATION,ESTIMATED PROPORTION OF POPULATION IN MODERN SLAVERY,ESTIMATED NUMBER IN MODERN SLAVERY,GOVERNMENT RESPONSE RANK,Milestone 1: Victims are supported to exit slavery (/32),Milestone 1: Victims are supported to exit slavery (%),Milestone 2: Criminal justice responses (/21),Milestone 2: Criminal justice responses (%),Milestone 3: Coordination and accountability (/14),Milestone 3: Coordination and accountability (%),Milestone 4: Addressing risk (/25),Milestone 4: Addressing risk (%),Milestone 5: Investigating supply chains (/7),Milestone 5: Investigating supply chains (%),Total score (/100),Corruption or state sanctioned forced labour score (/-2),Total score (AA - AC),CREDIT rating,EUROPE,AMERICAS,ASIA,SUBSAHARAN AFRICA,RUSSIA AND EURASIA,MIDDLE EAST AND NORTH AFRICA
Afghanistan,83,47.39,53.31,84.55,67.06,32527000,1.13,367600,0,,,,,,,,,,,,,,,0,0,1,0,0,0
Albania,52.88,29.58,42.36,18.25,35.77,2906000,0.29,8600,28,23.7,73.7,9.9,46.3,6.3,43.8,15.5,61.9,0,0,55.3,-1,54.3,BB,1,0,0,0,0,0
Algeria,51.03,28.1,47.02,51.46,44.4,39667000,0.63,248300,127,9.2,28.5,5.2,24.1,3.6,25,10.7,42.9,0,0,28.6,-1,27.6,CC,0,0,0,0,0,1
Angola,56.32,49.54,45.95,25.02,44.21,25022000,0.64,159700,146,6.5,20.4,4.4,20.4,4.5,31.3,7.1,28.6,0,0,22.5,-1,21.5,CC,0,0,0,1,0,0
Armenia,53.66,27.38,42.63,24.9,37.14,3018000,0.47,14100,58,15.5,48.3,10.7,49.8,8,56.3,12.5,50,0,0,46.7,-1,45.7,B,0,0,0,0,1,0
Australia,15.14,19.85,17.45,35.49,21.98,23772000,0.02,4300,5,20.7,64.4,17.5,81.9,8,56.3,17.3,69,1.8,25,65.3,0,65.3,BBB,0,0,1,0,0,0
Austria,21.47,18.14,14.05,33.14,21.7,8566000,0.02,1500,11,18.6,58,12.7,59.1,9.8,68.8,19,76.2,0,0,60.2,0,60.2,BBB,1,0,0,0,0,0
Azerbaijan,68.9,28.23,28.17,23.05,37.09,9635000,0.47,45000,81,9.1,28.3,12.9,60.4,2.7,18.8,14.3,57.1,0,0,39,-1,38,CCC,0,0,0,0,1,0
Bahrain,54.41,33.14,41.45,31.26,40.07,1377000,0.47,6400,111,11.8,36.7,7.9,36.7,3.6,25,8.9,35.7,0,0,32.1,-1,31.1,CCC,0,0,0,0,0,1
Bangladesh,46.78,46.04,33.63,50.02,44.12,160996000,0.95,1531300,43,12.7,39.4,12.9,60.4,9.8,68.8,14.9,59.5,0,0,50.3,-1,49.3,B,0,0,1,0,0,0
Belarus,58.41,20.48,35.88,23.8,34.64,9550000,0.47,44600,97,11.4,35.4,5.6,26.1,6.3,43.8,13.1,52.4,0,0,36.3,-2,34.3,CCC,0,0,0,0,1,0
Belgium,25.42,19.83,24.03,31.28,25.14,11268000,0.02,2000,9,22.9,71.3,10.9,50.7,10.7,75,17.9,71.4,0,0,62.4,0,62.4,BBB,1,0,0,0,0,0
Benin,46.95,36.52,39.7,14.9,34.52,10880000,0.29,32100,71,12.4,38.7,4.4,20.6,8,56.3,16.7,66.7,0,0,41.5,-1,40.5,B,0,0,0,1,0,0
Bosnia and Herzegovina,58.88,25.21,32.99,26.43,35.88,3810000,0.47,17800,46,18.5,57.4,9.4,43.7,4.5,31.3,17.3,69,0,0,49.5,-1,48.5,B,1,0,0,0,0,0
