Country ,Population ,Region,"Est. prevalence of population in modern slavery (victims per 1,000 population)",Est. number of people in modern slavery,Factor One Governance Issues ,Factor Two Nourishment and Access ,Factor Three Inequality,Factor Four Disenfranchised Groups,Factor Five Effects of Conflict,"Final overall (normalised, weighted) vulnerability score",Support survivors,%,Criminal justice,%,Coordination,%,NEG Government  complicity (1.4.3),NEG State-imposed forced labour (1.8.1),Address risk,%,Supply chains,%,SUM/104,SUM Neg,TOTAL,Credit rating
Afghanistan,33736000,Asia and the Pacific,22.2,749000,81,41.3,64.7,46,92.6,93.9,,,,,,,,,,,,,,,,
Albania,2923000,Europe and Central Asia,6.9,20000,46,20.7,44.3,48.4,27,45.2,6.6,72.8,3.8,63.3,2.8,68.8,-1,0,4.7,66.7,0,0,17.8,-1,59.9,BB
Algeria,39872000,Africa,2.7,106000,63.2,17.9,27.8,37,43.6,52,2.7,29.4,2.8,47.2,1.5,37.5,0,0,3.2,45.2,0,0,10.2,0,36.3,CCC
Angola,27859000,Africa,7.2,199000,60.2,43.4,48.2,48.5,19.8,62.3,2.8,31.5,0.8,13.9,1.8,43.8,-1,0,3.8,54.8,0,0,9.3,-1,29.5,CC
Antigua and Barbuda,100000,Americas,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,43418000,Americas,1.3,55000,39.3,11.4,45,23.6,13.4,28.9,6.3,70,4.2,70.6,2.5,62.5,-1,0,5.5,78.6,0,0,18.5,-1,62.6,BBB
Armenia,2917000,Europe and Central Asia,5.3,16000,51.1,18.9,33.8,46.3,22.1,43.6,4.9,54.6,3.1,51.1,2.3,56.3,0,0,4.7,66.7,0,0,14.9,0,53.2,BB
Australia,23800000,Asia and the Pacific,0.6,15000,11.9,15.7,20.7,12,13,4.3,6.3,69.6,4.5,75,2.3,56.3,0,0,4.8,69,0,0,17.9,0,63.8,BBB
Austria,8679000,Europe and Central Asia,1.7,15000,12.6,12.2,18.2,23.5,3.1,3.4,6.6,72.8,3.7,61.1,2.8,68.8,0,0,4.3,61.9,0.4,18.3,17.7,0,63.1,BBB
Azerbaijan,9617000,Europe and Central Asia,4.5,43000,60.3,21.2,23.9,35.7,32.5,47.8,2.5,28,4.3,71.7,2.5,62.5,0,0,4.2,59.5,0,0,13.5,0,48.2,B
Bahamas,387000,Americas,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,1372000,Arab States,1.9,3000,63,25.8,34.5,24,25.4,49.6,5,55.2,2.2,37.2,0.8,18.8,-1,0,2.2,31,0,0,10.1,-1,32.6,CCC
Bangladesh,161201000,Asia and the Pacific,3.7,592000,54.1,38.4,25.7,20.9,45.3,50,3.9,43.1,3.8,63.3,2.8,68.8,-1,0,3,42.9,0,0,13.4,-1,44.4,B
Barbados,284000,Americas,2.7,"<1,000",47.6,14.3,52.5,47.8,9.2,41.9,4.8,53.3,1.6,26.1,1.5,37.5,0,0,3.2,45.2,0,0,11,0,39.4,CCC
Belarus,9486000,Europe and Central Asia,10.9,103000,64.9,16.7,23.9,39.4,20.8,47.3,4.4,48.9,1.7,27.8,1.5,37.5,0,-1,4.7,66.7,0,0,12.2,-1,40.1,B
Belgium,11288000,Europe and Central Asia,2,23000,20,15,29.9,19.3,12.3,13.1,6.5,72.2,3.2,53.9,3.5,87.5,0,0,5.2,73.8,0.7,36.7,19.1,0,68.3,BBB
Belize,359000,Americas,,,,,,,,,,,,,,,,,,,,,,,,
Benin,10576000,Africa,5.5,58000,51.1,28.8,39.9,35.3,15.8,45,2.8,30.6,1.9,31.7,2.3,56.3,0,0,3.7,52.4,0,0,10.6,0,37.7,CCC
"Bolivia, Plurinational State of",10725000,Americas,2.1,23000,50.9,25.8,46.3,32.1,13.4,44.1,1.9,21.3,2.6,43.9,2.5,62.5,0,0,4.3,61.9,0.2,8.3,11.6,0,41.3,B
Bosnia and Herzegovina,3536000,Europe and Central Asia,3.4,12000,52,16.4,31.7,50.7,34.1,46.4,5.4,60.2,2.9,47.8,1,25,-1,0,5.3,76.2,0,0,14.6,-1,48.6,B
