country,"population 
(from united nations population division, world population prospects)",region,"est. prevalence of population in modern slavery (victims per 1,000 population)",est. number of people in modern slavery,factor one governance issues,factor two nourishment and access,factor three inequality,factor four disenfranchised groups,factor five effects of conflict,"final overall (normalised, weighted) vulnerability score",support survivors,%,criminal justice,%.1,coordination,%.2,neg government  complicity (1.4.3),neg state-imposed forced labour (1.8.1),address risk,%.3,supply chains,%.4,sum/104,sum neg,total,year,corruption,year_democracy,democracy score,year_gdppercapita,gdp per capita,year_lfpr,female,male,total_lfpr,year_migration,migration
Afghanistan,33736000.0,Asia and the Pacific,22.2,749000,81.0,41.3,64.7,46.0,92.6,93.9,,,,,,,,,,,,,,,,2016.0,15.0,2016.0,2.55,2016.0,2101.422,2016.0,20.946,75.615,48.449,2016.0,-90238.0
Albania,2923000.0,Europe and Central Asia,6.9,20000,46.0,20.7,44.3,48.4,27.0,45.2,6.6,72.8,3.8,63.3,2.8,68.8,-1.0,0.0,4.7,66.7,0.0,0.0,17.8,-1.0,59.9,2016.0,39.0,2016.0,5.91,2016.0,12291.902,2016.0,58.861,74.956,66.911,2016.0,-10887.0
Algeria,39872000.0,Africa,2.7,106000,63.2,17.9,27.8,37.0,43.6,52.0,2.7,29.4,2.8,47.2,1.5,37.5,0.0,0.0,3.2,45.2,0.0,0.0,10.2,0.0,36.3,2016.0,34.0,2016.0,3.56,2016.0,11888.323,2016.0,18.262,70.509,45.0,2016.0,-36227.0
Angola,27859000.0,Africa,7.2,199000,60.2,43.4,48.2,48.5,19.8,62.3,2.8,31.5,0.8,13.9,1.8,43.8,-1.0,0.0,3.8,54.8,0.0,0.0,9.3,-1.0,29.5,2016.0,18.0,2016.0,3.4,2016.0,7487.9253,2016.0,74.736,78.624,76.64,2016.0,91623.0
Antigua and Barbuda,100000.0,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,21280.645,,,,,2016.0,16.0
Argentina,43418000.0,Americas,1.3,55000,39.3,11.4,45.0,23.6,13.4,28.9,6.3,70.0,4.2,70.6,2.5,62.5,-1.0,0.0,5.5,78.6,0.0,0.0,18.5,-1.0,62.6,2016.0,36.0,2016.0,6.96,2016.0,23189.527,2016.0,55.471,77.636,66.619,2016.0,5215.0
Armenia,2917000.0,Europe and Central Asia,5.3,16000,51.1,18.9,33.8,46.3,22.1,43.6,4.9,54.6,3.1,51.1,2.3,56.3,0.0,0.0,4.7,66.7,0.0,0.0,14.9,0.0,53.2,2016.0,33.0,2016.0,3.88,2016.0,11580.384,2016.0,65.092,76.799,70.371,2016.0,-26804.0
Australia,23800000.0,Asia and the Pacific,0.6,15000,11.9,15.7,20.7,12.0,13.0,4.3,6.3,69.6,4.5,75.0,2.3,56.3,0.0,0.0,4.8,69.0,0.0,0.0,17.9,0.0,63.8,2016.0,79.0,2016.0,9.01,2016.0,48107.066,2016.0,71.62,82.239,76.908,2016.0,242184.0
Austria,8679000.0,Europe and Central Asia,1.7,15000,12.6,12.2,18.2,23.5,3.1,3.4,6.6,72.8,3.7,61.1,2.8,68.8,0.0,0.0,4.3,61.9,0.4,18.3,17.7,0.0,63.1,2016.0,75.0,2016.0,8.41,2016.0,53345.742,2016.0,72.614,80.453,76.561,2016.0,66282.0
Azerbaijan,9617000.0,Europe and Central Asia,4.5,43000,60.3,21.2,23.9,35.7,32.5,47.8,2.5,28.0,4.3,71.7,2.5,62.5,0.0,0.0,4.2,59.5,0.0,0.0,13.5,0.0,48.2,2016.0,30.0,2016.0,2.65,2016.0,14232.192,2016.0,67.336,71.448,69.334,2016.0,1484.0
Bahamas,387000.0,Americas,,,,,,,,,,,,,,,,,,,,,,,,2016.0,66.0,,,2016.0,33484.535,,,,,,
Bahrain,1372000.0,Arab States,1.9,3000,63.0,25.8,34.5,24.0,25.4,49.6,5.0,55.2,2.2,37.2,0.8,18.8,-1.0,0.0,2.2,31.0,0.0,0.0,10.1,-1.0,32.6,2016.0,43.0,2016.0,2.79,2016.0,48486.305,2016.0,44.968,87.76,72.961,2016.0,29052.0
Bangladesh,161201000.0,Asia and the Pacific,3.7,592000,54.1,38.4,25.7,20.9,45.3,50.0,3.9,43.1,3.8,63.3,2.8,68.8,-1.0,0.0,3.0,42.9,0.0,0.0,13.4,-1.0,44.4,2016.0,26.0,2016.0,5.73,2016.0,4589.0938,2016.0,34.866,81.293,57.731,2016.0,-55013.0
Barbados,284000.0,Americas,2.7,"<1,000",47.6,14.3,52.5,47.8,9.2,41.9,4.8,53.3,1.6,26.1,1.5,37.5,0.0,0.0,3.2,45.2,0.0,0.0,11.0,0.0,39.4,2016.0,61.0,,,2016.0,16190.236,2016.0,73.107,78.395,75.65,2016.0,-65.0
Belarus,9486000.0,Europe and Central Asia,10.9,103000,64.9,16.7,23.9,39.4,20.8,47.3,4.4,48.9,1.7,27.8,1.5,37.5,0.0,-1.0,4.7,66.7,0.0,0.0,12.2,-1.0,40.1,2016.0,40.0,2016.0,3.54,2016.0,17883.19,2016.0,74.714,80.616,77.547,2016.0,15258.0
Belgium,11288000.0,Europe and Central Asia,2.0,23000,20.0,15.0,29.9,19.3,12.3,13.1,6.5,72.2,3.2,53.9,3.5,87.5,0.0,0.0,5.2,73.8,0.7,36.7,19.1,0.0,68.3,2016.0,77.0,2016.0,7.77,2016.0,49829.926,2016.0,62.829,72.272,67.58,2016.0,56781.0
Belize,359000.0,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,9141.245,2016.0,51.389,81.818,66.598,2016.0,1283.0
Benin,10576000.0,Africa,5.5,58000,51.1,28.8,39.9,35.3,15.8,45.0,2.8,30.6,1.9,31.7,2.3,56.3,0.0,0.0,3.7,52.4,0.0,0.0,10.6,0.0,37.7,2016.0,36.0,2016.0,5.67,2016.0,2859.3916,2016.0,61.25,70.967,66.09,2016.0,3827.0
"Bolivia, Plurinational State of",10725000.0,Americas,2.1,23000,50.9,25.8,46.3,32.1,13.4,44.1,1.9,21.3,2.6,43.9,2.5,62.5,0.0,0.0,4.3,61.9,0.2,8.3,11.6,0.0,41.3,,,,,,,,,,,,
Bosnia and Herzegovina,3536000.0,Europe and Central Asia,3.4,12000,52.0,16.4,31.7,50.7,34.1,46.4,5.4,60.2,2.9,47.8,1.0,25.0,-1.0,0.0,5.3,76.2,0.0,0.0,14.6,-1.0,48.6,2016.0,39.0,2016.0,4.87,2016.0,13000.695,2016.0,43.262,68.052,55.682,2016.0,-32195.0
