country,population,region,"est. prevalence of population in modern slavery (victims per 1,000 population)",est. number of people in modern slavery,factor one governance issues,factor two nourishment and access,factor three inequality,factor four disenfranchised groups,factor five effects of conflict,"final overall (normalised, weighted) vulnerability score",support survivors,%,criminal justice,%.1,coordination,%.2,neg government  complicity (1.4.3),neg state-imposed forced labour (1.8.1),address risk,%.3,supply chains,%.4,sum/104,sum neg,total,credit rating,year,corruption,year_democracy,democracy score,year_gdppercapita,gdp per capita,year_lfpr,female,male,total_lfpr,year_migration,migration
Afghanistan,33736000.0,Asia and the Pacific,22.2,749000,81.0,41.3,64.7,46.0,92.6,93.9,,,,,,,,,,,,,,,,,2018.0,16.0,2018.0,2.97,2018.0,2060.699,2018.0,20.631,72.511,46.738,2018.0,-47205.0
Albania,2923000.0,Europe and Central Asia,6.9,20000,46.0,20.7,44.3,48.4,27.0,45.2,6.6,72.8,3.8,63.3,2.8,68.8,-1.0,0.0,4.7,66.7,0.0,0.0,17.8,-1.0,59.9,BB,2018.0,36.0,2018.0,5.98,2018.0,13317.185,2018.0,60.386,77.671,69.035,2018.0,-9106.0
Algeria,39872000.0,Africa,2.7,106000,63.2,17.9,27.8,37.0,43.6,52.0,2.7,29.4,2.8,47.2,1.5,37.5,0.0,0.0,3.2,45.2,0.0,0.0,10.2,0.0,36.3,CCC,2018.0,35.0,2018.0,3.5,2018.0,11725.878,2018.0,18.073,70.981,45.14,2018.0,-36227.0
Angola,27859000.0,Africa,7.2,199000,60.2,43.4,48.2,48.5,19.8,62.3,2.8,31.5,0.8,13.9,1.8,43.8,-1.0,0.0,3.8,54.8,0.0,0.0,9.3,-1.0,29.5,CC,2018.0,19.0,2018.0,3.62,2018.0,6878.59,2018.0,74.266,78.117,76.153,2018.0,61632.0
Antigua and Barbuda,100000.0,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,23050.686,,,,,2018.0,0.0
Argentina,43418000.0,Americas,1.3,55000,39.3,11.4,45.0,23.6,13.4,28.9,6.3,70.0,4.2,70.6,2.5,62.5,-1.0,0.0,5.5,78.6,0.0,0.0,18.5,-1.0,62.6,BBB,2018.0,40.0,2018.0,7.02,2018.0,22747.242,2018.0,57.444,77.194,67.385,2018.0,4690.0
Armenia,2917000.0,Europe and Central Asia,5.3,16000,51.1,18.9,33.8,46.3,22.1,43.6,4.9,54.6,3.1,51.1,2.3,56.3,0.0,0.0,4.7,66.7,0.0,0.0,14.9,0.0,53.2,BB,2018.0,35.0,2018.0,4.79,2018.0,13231.431,2018.0,65.924,77.339,71.053,2018.0,-25835.0
Australia,23800000.0,Asia and the Pacific,0.6,15000,11.9,15.7,20.7,12.0,13.0,4.3,6.3,69.6,4.5,75.0,2.3,56.3,0.0,0.0,4.8,69.0,0.0,0.0,17.9,0.0,63.8,BBB,2018.0,77.0,2018.0,9.09,2018.0,49085.934,2018.0,73.229,82.799,77.991,2018.0,220307.0
Austria,8679000.0,Europe and Central Asia,1.7,15000,12.6,12.2,18.2,23.5,3.1,3.4,6.6,72.8,3.7,61.1,2.8,68.8,0.0,0.0,4.3,61.9,0.4,18.3,17.7,0.0,63.1,BBB,2018.0,76.0,2018.0,8.29,2018.0,55217.285,2018.0,72.929,81.276,77.132,2018.0,35404.0
Azerbaijan,9617000.0,Europe and Central Asia,4.5,43000,60.3,21.2,23.9,35.7,32.5,47.8,2.5,28.0,4.3,71.7,2.5,62.5,0.0,0.0,4.2,59.5,0.0,0.0,13.5,0.0,48.2,B,2018.0,25.0,2018.0,2.65,2018.0,14209.593,2018.0,68.915,72.788,70.8,2018.0,1583.0
Bahamas,387000.0,Americas,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,65.0,,,2018.0,34810.277,,,,,,
Bahrain,1372000.0,Arab States,1.9,3000,63.0,25.8,34.5,24.0,25.4,49.6,5.0,55.2,2.2,37.2,0.8,18.8,-1.0,0.0,2.2,31.0,0.0,0.0,10.1,-1.0,32.6,CCC,2018.0,36.0,2018.0,2.71,2018.0,48937.66,2018.0,45.897,88.426,73.958,2018.0,-3601.0
Bangladesh,161201000.0,Asia and the Pacific,3.7,592000,54.1,38.4,25.7,20.9,45.3,50.0,3.9,43.1,3.8,63.3,2.8,68.8,-1.0,0.0,3.0,42.9,0.0,0.0,13.4,-1.0,44.4,B,2018.0,26.0,2018.0,5.57,2018.0,5124.4985,2018.0,38.824,83.141,60.644,2018.0,-323380.0
Barbados,284000.0,Americas,2.7,"<1,000",47.6,14.3,52.5,47.8,9.2,41.9,4.8,53.3,1.6,26.1,1.5,37.5,0.0,0.0,3.2,45.2,0.0,0.0,11.0,0.0,39.4,CCC,2018.0,68.0,,,2018.0,16063.454,2018.0,70.693,77.364,73.908,2018.0,-65.0
Belarus,9486000.0,Europe and Central Asia,10.9,103000,64.9,16.7,23.9,39.4,20.8,47.3,4.4,48.9,1.7,27.8,1.5,37.5,0.0,-1.0,4.7,66.7,0.0,0.0,12.2,-1.0,40.1,B,2018.0,44.0,2018.0,3.13,2018.0,18974.746,2018.0,74.595,82.009,78.152,2018.0,15731.0
Belgium,11288000.0,Europe and Central Asia,2.0,23000,20.0,15.0,29.9,19.3,12.3,13.1,6.5,72.2,3.2,53.9,3.5,87.5,0.0,0.0,5.2,73.8,0.7,36.7,19.1,0.0,68.3,BBB,2018.0,75.0,2018.0,7.78,2018.0,51113.48,2018.0,65.29,73.072,69.21,2018.0,55439.0
Belize,359000.0,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,8719.991,2018.0,51.047,81.298,66.186,2018.0,1185.0
