country,population,region,"estimated prevalence of modern slavery per 1,000 population",estimated number of people in modern slavery,governance issues,lack of basic needs,inequality,disenfranchised groups,effects of conflict,total vulnerability score (%),survivors of slavery are identified and supported to exit and remain out of modern slavery (%),criminal justice mechanisms function effectively to prevent modern slavery (%),"coordination occurs at the national and regional level and across borders, and governments are held to account for their response (%)","risk factors, such as attitudes, social systems, and institutions that enable modern slavery are addressed (%)",government and business stop sourcing goods and services produced by forced labour (%),government response total (%),year,corruption,year_democracy,democracy score,year_migration,migration
Afghanistan,38928000,Asia and the Pacific,13.0,505000.0,75.0,49.0,71.0,73.0,98.0,86.0,,,,,,,2023.0,20.0,,,2023.0,-65846.0
Albania,2878000,Europe and Central Asia,11.8,34000.0,39.0,31.0,44.0,68.0,22.0,40.0,55.0,69.0,75.0,79.0,13.0,62.0,2023.0,37.0,2023.0,6.28,2023.0,-8000.0
Algeria,43851000,Africa,1.9,84000.0,54.0,27.0,30.0,58.0,34.0,43.0,23.0,54.0,38.0,43.0,0.0,36.0,2023.0,36.0,2023.0,3.66,2023.0,-9999.0
Angola,32866000,Africa,4.1,136000.0,51.0,63.0,55.0,71.0,29.0,61.0,59.0,46.0,63.0,29.0,0.0,44.0,2023.0,33.0,2023.0,4.18,2023.0,-1000.0
Antigua and Barbuda,98000,Americas,,,,,,,,,36.0,54.0,63.0,50.0,0.0,44.0,,,,,2023.0,0.0
Argentina,45196000,Americas,4.2,189000.0,41.0,29.0,53.0,43.0,15.0,36.0,50.0,73.0,75.0,64.0,0.0,58.0,2023.0,37.0,2023.0,6.62,2023.0,3718.0
Armenia,2963000,Europe and Central Asia,8.9,26000.0,60.0,31.0,36.0,67.0,21.0,48.0,64.0,58.0,75.0,50.0,0.0,54.0,2023.0,47.0,2023.0,5.42,2023.0,-5000.0
Australia,25500000,Asia and the Pacific,1.6,41000.0,3.0,29.0,18.0,29.0,26.0,7.0,64.0,69.0,75.0,79.0,38.0,67.0,2023.0,75.0,2023.0,8.66,2023.0,139991.0
Austria,9006000,Europe and Central Asia,1.9,17000.0,10.0,22.0,17.0,35.0,19.0,8.0,59.0,65.0,75.0,71.0,25.0,62.0,2023.0,71.0,2023.0,8.28,2023.0,19999.0
Azerbaijan,10139000,Europe and Central Asia,10.6,107000.0,67.0,34.0,28.0,84.0,33.0,57.0,64.0,69.0,63.0,64.0,0.0,59.0,2023.0,23.0,2023.0,2.8,2023.0,0.0
