prevalence_per_1000,total_victims,governance_score,basic_needs_score,inequality_score,disenfranchised_score,conflict_score,vulnerability_total,victim_support_score,justice_score,coordination_score,risk_address_score,supply_chain_score,government_response_total,lfpr_female,lfpr_male,lfpr_total,country,population,region,corruption_score,democracy_score,gdp_per_capita,migration_rate,year
22.2,749000,81.0,41.3,64.7,46.0,92.6,93.9,3.9,2.7,1.8,3.8,0.0,40.9,20.631,72.511,46.738,Afghanistan,33736000.0,Asia and the Pacific,16.0,2.97,2060.699,-47205.0,2018
6.9,20000,46.0,20.7,44.3,48.4,27.0,45.2,6.6,3.8,2.8,4.7,0.0,59.9,60.386,77.671,69.035,Albania,2923000.0,Europe and Central Asia,36.0,5.98,13317.185,-9106.0,2018
2.7,106000,63.2,17.9,27.8,37.0,43.6,52.0,2.7,2.8,1.5,3.2,0.0,36.3,18.073,70.981,45.14,Algeria,39872000.0,Africa,35.0,3.5,11725.878,-36227.0,2018
7.2,199000,60.2,43.4,48.2,48.5,19.8,62.3,2.8,0.8,1.8,3.8,0.0,29.5,74.266,78.117,76.153,Angola,27859000.0,Africa,19.0,3.62,6878.59,61632.0,2018
1.3,55000,39.3,11.4,45.0,23.6,13.4,28.9,6.3,4.2,2.5,5.5,0.0,62.6,57.444,77.194,67.385,Argentina,43418000.0,Americas,40.0,7.02,22747.242,4690.0,2018
5.3,16000,51.1,18.9,33.8,46.3,22.1,43.6,4.9,3.1,2.3,4.7,0.0,53.2,65.924,77.339,71.053,Armenia,2917000.0,Europe and Central Asia,35.0,4.79,13231.431,-25835.0,2018
0.6,15000,11.9,15.7,20.7,12.0,13.0,4.3,6.3,4.5,2.3,4.8,0.0,63.8,73.229,82.799,77.991,Australia,23800000.0,Asia and the Pacific,77.0,9.09,49085.934,220307.0,2018
1.7,15000,12.6,12.2,18.2,23.5,3.1,3.4,6.6,3.7,2.8,4.3,0.4,63.1,72.929,81.276,77.132,Austria,8679000.0,Europe and Central Asia,76.0,8.29,55217.285,35404.0,2018
4.5,43000,60.3,21.2,23.9,35.7,32.5,47.8,2.5,4.3,2.5,4.2,0.0,48.2,68.915,72.788,70.8,Azerbaijan,9617000.0,Europe and Central Asia,25.0,2.65,14209.593,1583.0,2018
1.9,3000,63.0,25.8,34.5,24.0,25.4,49.6,5.0,2.2,0.8,2.2,0.0,32.6,45.897,88.426,73.958,Bahrain,1372000.0,Arab States,36.0,2.71,48937.66,-3601.0,2018
3.7,592000,54.1,38.4,25.7,20.9,45.3,50.0,3.9,3.8,2.8,3.0,0.0,44.4,38.824,83.141,60.644,Bangladesh,161201000.0,Asia and the Pacific,26.0,5.57,5124.4985,-323380.0,2018
2.7,"<1,000",47.6,14.3,52.5,47.8,9.2,41.9,4.8,1.6,1.5,3.2,0.0,39.4,70.693,77.364,73.908,Barbados,284000.0,Americas,68.0,5.96,16063.454,-65.0,2018
10.9,103000,64.9,16.7,23.9,39.4,20.8,47.3,4.4,1.7,1.5,4.7,0.0,40.1,74.595,82.009,78.152,Belarus,9486000.0,Europe and Central Asia,44.0,3.13,18974.746,15731.0,2018
