prevalence_per_1000,total_victims,governance_score,basic_needs_score,inequality_score,disenfranchised_score,conflict_score,vulnerability_total,victim_support_score,justice_score,coordination_score,risk_address_score,supply_chain_score,government_response_total,country,population,region,corruption_score,democracy_score,migration_rate,year
13.0,505000.0,75.0,49.0,71.0,73.0,98.0,86.0,50.0,54.0,50.0,50.0,0.0,47.0,Afghanistan,38928000,Asia and the Pacific,20.0,6.17,-65846.0,2023
11.8,34000.0,39.0,31.0,44.0,68.0,22.0,40.0,55.0,69.0,75.0,79.0,13.0,62.0,Albania,2878000,Europe and Central Asia,37.0,6.28,-8000.0,2023
1.9,84000.0,54.0,27.0,30.0,58.0,34.0,43.0,23.0,54.0,38.0,43.0,0.0,36.0,Algeria,43851000,Africa,36.0,3.66,-9999.0,2023
4.1,136000.0,51.0,63.0,55.0,71.0,29.0,61.0,59.0,46.0,63.0,29.0,0.0,44.0,Angola,32866000,Africa,33.0,4.18,-1000.0,2023
4.2,189000.0,41.0,29.0,53.0,43.0,15.0,36.0,50.0,73.0,75.0,64.0,0.0,58.0,Argentina,45196000,Americas,37.0,6.62,3718.0,2023
8.9,26000.0,60.0,31.0,36.0,67.0,21.0,48.0,64.0,58.0,75.0,50.0,0.0,54.0,Armenia,2963000,Europe and Central Asia,47.0,5.42,-5000.0,2023
1.6,41000.0,3.0,29.0,18.0,29.0,26.0,7.0,64.0,69.0,75.0,79.0,38.0,67.0,Australia,25500000,Asia and the Pacific,75.0,8.66,139991.0,2023
1.9,17000.0,10.0,22.0,17.0,35.0,19.0,8.0,59.0,65.0,75.0,71.0,25.0,62.0,Austria,9006000,Europe and Central Asia,71.0,8.28,19999.0,2023
10.6,107000.0,67.0,34.0,28.0,84.0,33.0,57.0,64.0,69.0,63.0,64.0,0.0,59.0,Azerbaijan,10139000,Europe and Central Asia,23.0,2.8,0.0,2023
6.7,11000.0,51.0,34.0,27.0,62.0,13.0,40.0,77.0,50.0,63.0,57.0,0.0,55.0,Bahrain,1702000,Arab States,42.0,2.52,0.0,2023
